film_name,film_year,film_rate,link,poster
Ratatouille,2007,4.23,https://letterboxd.com/film/ratatouille/,https://a.ltrbxd.com/resized/sm/upload/n8/rl/pc/se/jEiEU8viSb8CIIHcfprVr2V6XDz-0-70-0-105-crop.jpg?v=25e13045f0
Spider-Man: No Way Home,2021,3.83,https://letterboxd.com/film/spider-man-no-way-home/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Frankenstein,2025,3.84,https://letterboxd.com/film/frankenstein-2025/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Marty Supreme,2025,4.16,https://letterboxd.com/film/marty-supreme/,https://a.ltrbxd.com/resized/film-poster/1/1/9/7/4/9/9/1197499-marty-supreme-0-70-0-105-crop.jpg?v=b14a26bb43
Django Unchained,2012,4.33,https://letterboxd.com/film/django-unchained/,https://a.ltrbxd.com/resized/film-poster/5/2/5/1/6/52516-django-unchained-0-70-0-105-crop.jpg?v=f02aed63a3
One Battle After Another,2025,4.19,https://letterboxd.com/film/one-battle-after-another/,https://a.ltrbxd.com/resized/film-poster/9/5/1/2/7/7/951277-one-battle-after-another-0-70-0-105-crop.jpg?v=d27c4cc662
Avengers: Infinity War,2018,4.03,https://letterboxd.com/film/avengers-infinity-war/,https://a.ltrbxd.com/resized/film-poster/2/2/6/6/6/1/226661-avengers-infinity-war-0-70-0-105-crop.jpg?v=8b35f60c0c
Avengers: Endgame,2019,3.95,https://letterboxd.com/film/avengers-endgame/,https://a.ltrbxd.com/resized/film-poster/2/2/6/6/6/0/226660-avengers-endgame-0-70-0-105-crop.jpg?v=d4006bfd5e
The Shawshank Redemption,1994,4.58,https://letterboxd.com/film/the-shawshank-redemption/,https://a.ltrbxd.com/resized/sm/upload/7l/hn/46/uz/zGINvGjdlO6TJRu9wESQvWlOKVT-0-70-0-105-crop.jpg?v=8736d1c395
The Lord of the Rings: The Fellowship of the Ring,2001,4.39,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,https://a.ltrbxd.com/resized/sm/upload/3t/vq/0u/m6/1tX9ZlgVvWjAQhMs1vAfsYpi7VK-0-70-0-105-crop.jpg?v=30bbb824e1
Mean Girls,2004,3.82,https://letterboxd.com/film/mean-girls/,https://a.ltrbxd.com/resized/film-poster/4/6/0/4/9/46049-mean-girls-0-70-0-105-crop.jpg?v=e6378abb7b
The Matrix,1999,4.18,https://letterboxd.com/film/the-matrix/,https://a.ltrbxd.com/resized/film-poster/5/1/5/1/8/51518-the-matrix-0-70-0-105-crop.jpg?v=fc7c366afe
Baby Driver,2017,3.70,https://letterboxd.com/film/baby-driver/,https://a.ltrbxd.com/resized/film-poster/2/6/8/9/5/0/268950-baby-driver-0-70-0-105-crop.jpg?v=61304ddfc8
Taxi Driver,1976,4.11,https://letterboxd.com/film/taxi-driver/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Coraline,2009,4.19,https://letterboxd.com/film/coraline/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Titanic,1997,3.83,https://letterboxd.com/film/titanic-1997/,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-70-0-105-crop.jpg?v=7517ea94ce
Hereditary,2018,3.93,https://letterboxd.com/film/hereditary/,https://a.ltrbxd.com/resized/film-poster/4/2/4/3/4/8/424348-hereditary-0-70-0-105-crop.jpg?v=470e48b681
Deadpool & Wolverine,2024,3.44,https://letterboxd.com/film/deadpool-wolverine/,https://a.ltrbxd.com/resized/film-poster/4/6/2/8/7/0/462870-deadpool-wolverine-0-70-0-105-crop.jpg?v=1aa778d2c6
